Season,Crops,MSP (2017-18),Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,MSP (2018-19),Oct-18,Nov-18
Kharif Crops,Paddy,1550,1715,1735,1719,1677,1674,1653,1659,1655,1639,1651,1657,1662,1750,1688,1738
Kharif Crops,Jowar,1700,2039,2039,2194,2093,2172,2158,2145,2093,2082,2195,2198,2157,2430,2320,2561
Kharif Crops,Bajra,1425,1507,1485,1476,1454,1464,1444,1477,1476,1454,1505,1517,1581,1950,1744,1811
Kharif Crops,Maize,1425,1474,1463,1475,1447,1449,1466,1475,1487,1455,1471,1491,1488,1700,1515,1591
Kharif Crops,Ragi,1900,2842,2720,2718,2579,2599,2710,2594,2523,2448,2541,2604,2575,2897,2651,2619
Kharif Crops,Arhar,5450,4283,4266,4367,4334,4356,4329,4141,4251,4081,4160,4095,4088,5675,4077,4485
Kharif Crops,Moong,5575,5145,5183,5329,5442,5472,5445,5393,5405,5343,5413,5282,5375,6975,5410,5697
Kharif Crops,Urad,5400,5599,5442,5396,5099,5121,5035,4933,4919,4695,4678,4795,4755,5600,4906,5223
Kharif Crops,Cotton/Kapas,4020,4375,4455,4968,4949,4689,4392,4305,4449,5143,5373,5675,5542,5150,5598,5433
Kharif Crops,Groundnut @,4450,5029,5005,4333,4929,4303,4461,4031,4110,4149,4282,4530,4494,4890,4713,4710
Kharif Crops,Sunflower,4100,2854,2949,2868,2968,3077,3184,3223,2970,3081,3132,3257,3358,5388,3474,3540
Kharif Crops,Soyabean,3050,2931,2957,3079,3346,3670,3592,3621,3591,3444,3474,3402,3372,3399,3316,3471
Kharif Crops,Sesamum,5300,7281,7709,7829,7878,7751,7551,7413,7576,7773,8148,8493,8654,6249,10043,10645
Kharif Crops,Nigerseed,4050,5828,5777,5733,5667,5150,5075,4667,4367,3850,3770,4144,4000,5877,4408,4068
